"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 22 07:19:15 EDT 2023","Mon May 22 07:19:18 EDT 2023","3448","tests","test_login","TestLogin","","","User is not allowed to enter invalid phone number","User is not allowed to enter invalid phone number"
"passed","Mon May 22 07:19:32 EDT 2023","Mon May 22 07:19:34 EDT 2023","2203","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"passed","Mon May 22 07:19:13 EDT 2023","Mon May 22 07:19:16 EDT 2023","3608","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"broken","Mon May 22 07:19:48 EDT 2023","Mon May 22 07:20:35 EDT 2023","47266","tests","test_login","TestLogin","","","User is able to login,this should fail","User is able to login"
"passed","Mon May 22 07:19:04 EDT 2023","Mon May 22 07:19:07 EDT 2023","3079","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"broken","Mon May 22 07:19:04 EDT 2023","Mon May 22 07:19:40 EDT 2023","36208","tests","test_login","TestLogin","","","User is not allowed to enter alpha characters","User is not allowed to enter alpha characters"
"passed","Mon May 22 07:19:14 EDT 2023","Mon May 22 07:19:18 EDT 2023","3791","tests","test_login","TestLogin","","","User is not allowed to enter alpha characters","User is not allowed to enter alpha characters"
"broken","Mon May 22 07:19:03 EDT 2023","Mon May 22 07:19:40 EDT 2023","36207","tests","test_login","TestLogin","","","User is not allowed to enter invalid phone number","User is not allowed to enter invalid phone number"
"broken","Mon May 22 07:19:16 EDT 2023","Mon May 22 07:19:54 EDT 2023","37933","tests","test_login","TestLogin","","","User is able to login,this should fail","User is able to login"
